Month_Num,Month_Name,Area_Name,GMM_Threshold_dB
1,January,Bagerhat,-10.31
1,January,Bandarban,-7.4934
1,January,Barguna,-15.7162
1,January,Barisal,-15.3398
1,January,Bhola,-16.0036
1,January,Bogra,-14.9679
1,January,Brahamanbaria,-10.0399
1,January,Chandpur,-15.3328
1,January,Chittagong,-8.8335
1,January,Chuadanga,-8.9113
1,January,Comilla,-8.7967
1,January,Cox's Bazar,-9.0923
1,January,Dhaka,-8.4209
1,January,Dinajpur,-10.8273
1,January,Faridpur,-10.2631
1,January,Feni,-8.8157
1,January,Gaibandha,-17.4302
1,January,Gazipur,-8.3859
1,January,Gopalganj,-9.6066
1,January,Habiganj,-9.9475
1,January,Jamalpur,-12.8042
1,January,Jessore,-11.428
1,January,Jhalokati,-13.3912
1,January,Jhenaidah,-9.6824
1,January,Joypurhat,-9.3464
1,January,Khagrachhari,-7.6239
1,January,Khulna,-10.644
1,January,Kishoreganj,-10.3643
1,January,Kurigram,-14.0484
1,January,Kushtia,-13.7793
1,January,Lakshmipur,-16.1299
1,January,Lalmonirhat,-11.637
1,January,Madaripur,-14.4525
1,January,Magura,-9.8121
1,January,Manikganj,-14.826
1,January,Maulvibazar,-9.8924
1,January,Meherpur,-8.6665
1,January,Munshiganj,-15.3436
1,January,Mymensingh,-8.9978
1,January,Naogaon,-9.9956
1,January,Narail,-12.464
1,January,Narayanganj,-9.0573
1,January,Narsingdi,-14.7009
1,January,Natore,-9.5471
1,January,Nawabganj,-10.3527
1,January,Netrakona,-10.2822
1,January,Nilphamari,-12.0386
1,January,Noakhali,-15.9336
1,January,Pabna,-10.4935
1,January,Panchagarh,-9.0502
1,January,Patuakhali,-15.6581
1,January,Pirojpur,-13.6751
1,January,Rajbari,-14.9077
1,January,Rajshahi,-11.086
1,January,Rangamati,-12.2874
1,January,Rangpur,-11.8232
1,January,Satkhira,-11.233
1,January,Shariatpur,-15.94
1,January,Sherpur,-8.5994
1,January,Sirajganj,-14.7001
1,January,Sunamganj,-13.9796
1,January,Sylhet,-10.1903
1,January,Tangail,-8.839
1,January,Thakurgaon,-9.3173
1,January,national_mean,-11.6181
2,February,Bagerhat,-10.5068
2,February,Bandarban,-7.3719
2,February,Barguna,-15.9679
2,February,Barisal,-15.1372
2,February,Bhola,-16.3077
2,February,Bogra,-10.2037
2,February,Brahamanbaria,-9.6449
2,February,Chandpur,-16.1855
2,February,Chittagong,-8.9928
2,February,Chuadanga,-8.8972
2,February,Comilla,-8.7339
2,February,Cox's Bazar,-9.4939
2,February,Dhaka,-8.541
2,February,Dinajpur,-11.0238
2,February,Faridpur,-10.1119
2,February,Feni,-8.9655
2,February,Gaibandha,-13.7013
2,February,Gazipur,-8.195
2,February,Gopalganj,-8.8306
2,February,Habiganj,-9.8274
2,February,Jamalpur,-10.5281
2,February,Jessore,-10.8242
2,February,Jhalokati,-13.6748
2,February,Jhenaidah,-9.6053
2,February,Joypurhat,-9.6695
2,February,Khagrachhari,-7.8384
2,February,Khulna,-11.3664
2,February,Kishoreganj,-9.4934
2,February,Kurigram,-14.5791
2,February,Kushtia,-12.5945
2,February,Lakshmipur,-16.2035
2,February,Lalmonirhat,-8.5937
2,February,Madaripur,-14.6467
2,February,Magura,-9.0848
2,February,Manikganj,-15.3427
2,February,Maulvibazar,-9.587
2,February,Meherpur,-9.2016
2,February,Munshiganj,-14.8022
2,February,Mymensingh,-8.7287
2,February,Naogaon,-9.4367
2,February,Narail,-12.907
2,February,Narayanganj,-8.4118
2,February,Narsingdi,-13.0288
2,February,Natore,-9.1916
2,February,Nawabganj,-10.5478
2,February,Netrakona,-9.432
2,February,Nilphamari,-9.5474
2,February,Noakhali,-15.8825
2,February,Pabna,-10.4553
2,February,Panchagarh,-9.1939
2,February,Patuakhali,-15.6822
2,February,Pirojpur,-14.2855
2,February,Rajbari,-15.6877
2,February,Rajshahi,-10.0219
2,February,Rangamati,-13.6246
2,February,Rangpur,-9.5078
2,February,Satkhira,-11.5686
2,February,Shariatpur,-16.4965
2,February,Sherpur,-8.8502
2,February,Sirajganj,-15.8862
2,February,Sunamganj,-10.6511
2,February,Sylhet,-10.2299
2,February,Tangail,-9.3381
2,February,Thakurgaon,-9.5956
2,February,national_mean,-11.2885
