year,month,month_name,water_area_km2,total_area_km2,water_area_calibrated_km2
2015,1,January,47488.42,153584.24,23504.1
2015,2,February,53242.1,153442.91,26351.9
2015,3,March,52805.35,153584.9,26135.7
2015,4,April,31830.44,153585.09,15754.3
2015,5,May,24786.44,153584.89,12267.9
2015,6,June,36135.53,153584.91,17885.1
2015,7,July,35017.78,153583.74,17331.9
2015,8,August,34693.92,153582.96,17171.6
2015,9,September,33224.07,144319.61,16444.1
2015,10,October,34439.159999999996,153576.2,17045.5
2015,11,November,31648.28,144369.68,15664.1
2015,12,December,46220.11,146849.45,22876.4
2016,1,January,46656.34,130654.65,23092.3
2016,2,February,52185.39,153583.73,25828.9
2016,3,March,52496.8,151310.13,25983.0
2016,4,April,58920.229999999996,153583.72,29162.3
2016,5,May,42505.75,153584.83,21038.0
2016,6,June,42719.29,151570.36,21143.7
2016,7,July,48904.96,153570.84,24205.2
2016,8,August,46478.88,153583.53,23004.5
2016,9,September,42724.69,153583.8,21146.4
2016,10,October,41159.83,153584.15,20371.8
2016,11,November,42268.75,153583.83,20920.7
2016,12,December,46596.44,153583.8,23062.7
2017,1,January,51936.62,153583.79,25705.8
2017,2,February,58384.21,153585.21,28897.0
2017,3,March,58016.54,153585.21,28715.0
2017,4,April,63599.51,153585.2,31478.2
2017,5,May,46153.44,153585.21,22843.4
2017,6,June,42162.26,153585.21,20868.0
2017,7,July,42430.770000000004,153585.21,21000.9
2017,8,August,49293.57,153585.2,24397.6
2017,9,September,45545.91,153585.2,22542.7
2017,10,October,42229.39,153585.2,20901.2
2017,11,November,41297.11,153585.21,20439.8
2017,12,December,41044.0,153585.21,20314.5
2018,1,January,47214.28,153585.21,23368.5
2018,2,February,55932.479999999996,153585.21,27683.5
2018,3,March,60364.22,153585.21,29876.9
2018,4,April,57217.61,153585.2,28319.5
2018,5,May,40994.67,153585.21,20290.1
2018,6,June,40379.03,153585.21,19985.4
2018,7,July,38105.69,153585.2,18860.2
2018,8,August,42516.34,153585.21,21043.2
2018,9,September,43888.87,153585.21,21722.6
2018,10,October,43006.83,153585.21,21286.0
2018,11,November,43551.9,153585.2,21555.8
2018,12,December,45588.3,153585.21,22563.7
2019,1,January,53490.03,153585.21,26474.6
2019,2,February,56608.87,153583.23,28018.3
2019,3,March,57734.270000000004,153583.44,28575.3
2019,4,April,55042.55,153583.71,27243.0
2019,5,May,47065.09,153583.44,23294.6
2019,6,June,38149.52,153582.56,18881.9
2019,7,July,47010.94,153583.77,23267.8
2019,8,August,43195.32,153585.21,21379.3
2019,9,September,40256.18,153585.21,19924.6
2019,10,October,39268.62,153585.2,19435.8
