year,division,water_area_km2
2015,Barisal,1254.6
2016,Barisal,1496.8
2017,Barisal,1202.3
2018,Barisal,1281.1
2019,Barisal,1478.7
2020,Barisal,1218.0
2021,Barisal,1216.0
2022,Barisal,1212.4
2023,Barisal,1055.2
2024,Barisal,1160.9
2025,Barisal,1357.5
2015,Chittagong,3678.6
2016,Chittagong,5318.2
2017,Chittagong,4950.7
2018,Chittagong,5132.099999999999
2019,Chittagong,5114.0
2020,Chittagong,4975.6
2021,Chittagong,4559.4
2022,Chittagong,4907.7
2023,Chittagong,4621.5
2024,Chittagong,4892.7
2025,Chittagong,4615.7
2015,Dhaka,3380.0
2016,Dhaka,4597.1
2017,Dhaka,3891.3
2018,Dhaka,3096.0
2019,Dhaka,4294.0
2020,Dhaka,5227.5
2021,Dhaka,3644.2
2022,Dhaka,3277.5
2023,Dhaka,3190.6
2024,Dhaka,3869.2000000000003
2025,Dhaka,2783.6
2015,Khulna,2600.7
2016,Khulna,3472.5
2017,Khulna,3577.9
2018,Khulna,3302.7
2019,Khulna,3056.7
2020,Khulna,3490.4
2021,Khulna,3515.8
2022,Khulna,3294.1
2023,Khulna,3253.8
2024,Khulna,3189.6
2025,Khulna,3696.6000000000004
2015,Rajshahi,2170.2
2016,Rajshahi,2988.8
2017,Rajshahi,2022.9
2018,Rajshahi,1388.5
2019,Rajshahi,2889.7
2020,Rajshahi,3105.5
2021,Rajshahi,2139.7
2022,Rajshahi,1183.6999999999998
2023,Rajshahi,1429.1
2024,Rajshahi,2196.9
2025,Rajshahi,1729.9
2015,Rangpur,2322.7999999999997
2016,Rangpur,3757.2
2017,Rangpur,2795.9
2018,Rangpur,2461.7
2019,Rangpur,3534.2
2020,Rangpur,3797.5
2021,Rangpur,2766.4
2022,Rangpur,2166.9
2023,Rangpur,2896.3
2024,Rangpur,3032.8999999999996
2025,Rangpur,2151.8
2015,Sylhet,1925.0
2016,Sylhet,2574.7
2017,Sylhet,2560.1
2018,Sylhet,2198.1000000000004
2019,Sylhet,2900.7000000000003
2020,Sylhet,3123.5
2021,Sylhet,2068.9
2022,Sylhet,3048.4
2023,Sylhet,2456.1000000000004
2024,Sylhet,3153.0
2025,Sylhet,1989.3999999999999
