from_year,to_year,season,mean_water_from_km2,mean_water_to_km2,change_km2,change_percent
2015,2016,Dry Winter (Dec-Feb),24244.2,23994.5,-249.7,-1.03
2016,2017,Dry Winter (Dec-Feb),23994.5,24972.3,977.8,4.08
2017,2018,Dry Winter (Dec-Feb),24972.3,24538.4,-433.9,-1.74
2018,2019,Dry Winter (Dec-Feb),24538.4,25012.4,474.0,1.93
2019,2020,Dry Winter (Dec-Feb),25012.4,23132.9,-1879.5,-7.51
2020,2021,Dry Winter (Dec-Feb),23132.9,24127.9,995.0,4.3
2021,2022,Dry Winter (Dec-Feb),24127.9,23693.1,-434.8,-1.8
2022,2023,Dry Winter (Dec-Feb),23693.1,23227.3,-465.8,-1.97
2023,2024,Dry Winter (Dec-Feb),23227.3,22753.0,-474.3,-2.04
2024,2025,Dry Winter (Dec-Feb),22753.0,23467.0,714.0,3.14
2015,2016,Monsoon (Jun-Sep),17208.2,22375.0,5166.8,30.03
2016,2017,Monsoon (Jun-Sep),22375.0,22202.3,-172.7,-0.77
2017,2018,Monsoon (Jun-Sep),22202.3,20402.8,-1799.5,-8.11
2018,2019,Monsoon (Jun-Sep),20402.8,20863.4,460.6,2.26
2019,2020,Monsoon (Jun-Sep),20863.4,22477.7,1614.3,7.74
2020,2021,Monsoon (Jun-Sep),22477.7,20260.5,-2217.2,-9.86
2021,2022,Monsoon (Jun-Sep),20260.5,20871.4,610.9,3.02
2022,2023,Monsoon (Jun-Sep),20871.4,19906.0,-965.4,-4.63
2023,2024,Monsoon (Jun-Sep),19906.0,21855.2,1949.2,9.79
2024,2025,Monsoon (Jun-Sep),21855.2,20113.1,-1742.1,-7.97
2015,2016,Post-Monsoon (Oct-Nov),16355.0,20646.3,4291.3,26.24
2016,2017,Post-Monsoon (Oct-Nov),20646.3,20670.5,24.2,0.12
2017,2018,Post-Monsoon (Oct-Nov),20670.5,21421.2,750.7,3.63
2018,2019,Post-Monsoon (Oct-Nov),21421.2,18944.8,-2476.4,-11.56
2019,2020,Post-Monsoon (Oct-Nov),18944.8,20479.8,1535.0,8.1
2020,2021,Post-Monsoon (Oct-Nov),20479.8,19853.0,-626.8,-3.06
2021,2022,Post-Monsoon (Oct-Nov),19853.0,20639.5,786.5,3.96
2022,2023,Post-Monsoon (Oct-Nov),20639.5,19869.5,-770.0,-3.73
2023,2024,Post-Monsoon (Oct-Nov),19869.5,20381.7,512.2,2.58
2024,2025,Post-Monsoon (Oct-Nov),20381.7,19523.1,-858.6,-4.21
2015,2016,Pre-Monsoon (Mar-May),18052.7,25394.3,7341.6,40.67
2016,2017,Pre-Monsoon (Mar-May),25394.3,27678.6,2284.3,9.0
2017,2018,Pre-Monsoon (Mar-May),27678.6,26162.5,-1516.1,-5.48
2018,2019,Pre-Monsoon (Mar-May),26162.5,26371.2,208.7,0.8
2019,2020,Pre-Monsoon (Mar-May),26371.2,25783.4,-587.8,-2.23
2020,2021,Pre-Monsoon (Mar-May),25783.4,27557.4,1774.0,6.88
2021,2022,Pre-Monsoon (Mar-May),27557.4,26774.5,-782.9,-2.84
2022,2023,Pre-Monsoon (Mar-May),26774.5,26438.3,-336.2,-1.26
2023,2024,Pre-Monsoon (Mar-May),26438.3,26147.1,-291.2,-1.1
2024,2025,Pre-Monsoon (Mar-May),26147.1,26486.8,339.7,1.3
