month,month_name,mean_km2,min_km2,max_km2,std_km2
1,January,23433.9,20300.1,26474.6,1757.1
2,February,26904.0,24778.6,28897.0,1314.4
3,March,28380.1,25983.0,30512.2,1644.2
4,April,28426.3,15754.3,31819.9,4423.0
5,May,20333.5,12267.9,23294.6,3000.6
6,June,20133.5,17885.1,22370.8,1523.5
7,July,20666.1,17331.9,24937.8,2537.0
8,August,21682.8,17171.6,24397.6,1961.8
9,September,20621.4,16444.1,22542.7,1640.0
10,October,20143.7,17045.5,21286.0,1151.3
11,November,19635.2,15664.1,21555.8,1594.2
12,December,21433.8,19020.1,23062.7,1326.0
