year,season,total_water_km2,monthly_mean_km2
2015,Dry Winter (Dec-Feb),72732.6,24244.2
2015,Monsoon (Jun-Sep),68832.6,17208.2
2015,Post-Monsoon (Oct-Nov),32709.9,16355.0
2015,Pre-Monsoon (Mar-May),54158.0,18052.7
2016,Dry Winter (Dec-Feb),71983.6,23994.5
2016,Monsoon (Jun-Sep),89500.0,22375.0
2016,Post-Monsoon (Oct-Nov),41292.6,20646.3
2016,Pre-Monsoon (Mar-May),76182.9,25394.3
2017,Dry Winter (Dec-Feb),74917.0,24972.3
2017,Monsoon (Jun-Sep),88809.2,22202.3
2017,Post-Monsoon (Oct-Nov),41341.0,20670.5
2017,Pre-Monsoon (Mar-May),83035.9,27678.6
2018,Dry Winter (Dec-Feb),73615.3,24538.4
2018,Monsoon (Jun-Sep),81611.0,20402.8
2018,Post-Monsoon (Oct-Nov),42842.4,21421.2
2018,Pre-Monsoon (Mar-May),78487.4,26162.5
2019,Dry Winter (Dec-Feb),75037.1,25012.4
2019,Monsoon (Jun-Sep),83453.7,20863.4
2019,Post-Monsoon (Oct-Nov),37889.7,18944.8
2019,Pre-Monsoon (Mar-May),79113.7,26371.2
2020,Dry Winter (Dec-Feb),69398.8,23132.9
2020,Monsoon (Jun-Sep),89910.9,22477.7
2020,Post-Monsoon (Oct-Nov),40959.6,20479.8
2020,Pre-Monsoon (Mar-May),77350.2,25783.4
2021,Dry Winter (Dec-Feb),72383.7,24127.9
2021,Monsoon (Jun-Sep),81041.9,20260.5
2021,Post-Monsoon (Oct-Nov),39705.9,19853.0
2021,Pre-Monsoon (Mar-May),82672.1,27557.4
2022,Dry Winter (Dec-Feb),71079.4,23693.1
2022,Monsoon (Jun-Sep),83485.7,20871.4
2022,Post-Monsoon (Oct-Nov),41279.0,20639.5
2022,Pre-Monsoon (Mar-May),80323.5,26774.5
2023,Dry Winter (Dec-Feb),69681.9,23227.3
2023,Monsoon (Jun-Sep),79624.1,19906.0
2023,Post-Monsoon (Oct-Nov),39739.1,19869.5
2023,Pre-Monsoon (Mar-May),79314.9,26438.3
2024,Dry Winter (Dec-Feb),68259.0,22753.0
2024,Monsoon (Jun-Sep),87420.6,21855.2
2024,Post-Monsoon (Oct-Nov),40763.3,20381.7
2024,Pre-Monsoon (Mar-May),78441.3,26147.1
2025,Dry Winter (Dec-Feb),70400.9,23467.0
2025,Monsoon (Jun-Sep),80452.5,20113.1
2025,Post-Monsoon (Oct-Nov),39046.2,19523.1
2025,Pre-Monsoon (Mar-May),79460.4,26486.8
