District,Components,AIC,BIC
Sunamganj,2,569066.9860329333,569114.59947123
Sunamganj,3,568676.8040173437,568752.9855186181
Sunamganj,4,569078.4121562027,569183.1617204552
Sunamganj,5,569242.2309587693,569375.5485859998
Dhaka,2,861511.3757918425,861561.3229252878
Dhaka,3,859024.4458418776,859104.36125539
Dhaka,4,856705.0823487685,856814.9660423481
Dhaka,5,855650.7080232019,855790.5599968487
Bhola,2,659665.2483204744,659713.8682621637
Bhola,3,644448.6977330568,644526.4896397596
Bhola,4,642032.8445028522,642139.8083745686
Bhola,5,644253.5695060515,644389.7053427814
