district_name,month,threshold
Bagerhat,1.0,-10.309965088333575
Bagerhat,2.0,-10.506769866442964
Bagerhat,3.0,-10.824173202870606
Bagerhat,4.0,-10.008252702692511
Bagerhat,5.0,-9.32587087873691
Bagerhat,6.0,-8.75799520315476
Bagerhat,7.0,-8.785341216571892
Bagerhat,8.0,-8.820335489113923
Bagerhat,9.0,-8.891619300122942
Bagerhat,10.0,-9.302723468914696
Bagerhat,11.0,-9.634129987327869
Bagerhat,12.0,-10.030000667038033
Bandarban,1.0,-7.493374622192743
Bandarban,2.0,-7.371879318373704
Bandarban,3.0,-7.702563396310548
Bandarban,4.0,-7.773804527496432
Bandarban,5.0,-6.747418157665998
Bandarban,6.0,-6.054116764318521
Bandarban,7.0,-6.137349406507997
Bandarban,8.0,-6.227624686989018
Bandarban,9.0,-6.179291831505342
Bandarban,10.0,-6.123711467341647
Bandarban,11.0,-6.465889843665033
Bandarban,12.0,-7.0658656068180825
Barguna,1.0,-15.716246103459762
Barguna,2.0,-15.967912144296683
Barguna,3.0,-15.321475989409292
Barguna,4.0,-14.692522796912806
Barguna,5.0,-14.090789261430778
Barguna,6.0,-13.368645388246371
Barguna,7.0,-13.360712110670908
Barguna,8.0,-12.719387754859975
Barguna,9.0,-13.888711518644213
Barguna,10.0,-14.503656038745305
Barguna,11.0,-14.53080118651099
Barguna,12.0,-14.677509877462233
Barisal,1.0,-15.339817924597815
Barisal,2.0,-15.137223472065166
Barisal,3.0,-15.07147215069355
Barisal,4.0,-14.363128408534068
Barisal,5.0,-13.398808677551285
Barisal,6.0,-12.782078132320992
Barisal,7.0,-12.9730190582261
Barisal,8.0,-13.013950797655184
Barisal,9.0,-12.925013432450116
Barisal,10.0,-13.052976006123084
Barisal,11.0,-13.472768492204624
Barisal,12.0,-13.952516501265173
Bhola,1.0,-16.003605311239525
Bhola,2.0,-16.30771351488292
Bhola,3.0,-15.486692449988674
Bhola,4.0,-15.134265765573362
Bhola,5.0,-14.516884501913559
Bhola,6.0,-14.487206118880495
Bhola,7.0,-15.130533051560036
Bhola,8.0,-16.061231674318783
Bhola,9.0,-15.278293332829872
Bhola,10.0,-15.060869135315407
Bhola,11.0,-15.857179719974823
Bhola,12.0,-15.306905875773735
Bogra,1.0,-14.967906938394053
Bogra,2.0,-10.203700476951711
Bogra,3.0,-10.153592609258038
Bogra,4.0,-9.597061451591559
Bogra,5.0,-13.895077978212708
Bogra,6.0,-13.526095599117419
Bogra,7.0,-13.281080295554283
