year,month,district,division,water_area_km2,water_area_calibrated_km2
2015.0,1.0,Barisal,Barisal,423.67,209.9
2015.0,1.0,Bhola,Barisal,643.95,319.0
2015.0,1.0,Jhalokati,Barisal,33.45,16.6
2015.0,1.0,Patuakhali,Barisal,204.18,101.2
2015.0,1.0,Pirojpur,Barisal,93.46,46.3
2015.0,1.0,Bandarban,Chittagong,1988.59,985.2
2015.0,1.0,Brahamanbaria,Chittagong,998.53,494.7
2015.0,1.0,Chandpur,Chittagong,240.49,119.1
2015.0,1.0,Chittagong,Chittagong,2358.09,1168.3
2015.0,1.0,Comilla,Chittagong,1743.53,863.8
2015.0,1.0,Cox's Bazar,Chittagong,919.28,455.4
2015.0,1.0,Feni,Chittagong,531.66,263.4
2015.0,1.0,Khagrachhari,Chittagong,1934.0,958.2
2015.0,1.0,Lakshmipur,Chittagong,283.75,140.6
2015.0,1.0,Noakhali,Chittagong,101.75,50.4
2015.0,1.0,Rangamati,Chittagong,418.77,207.5
2015.0,1.0,Dhaka,Dhaka,900.68,446.2
2015.0,1.0,Faridpur,Dhaka,829.25,410.8
2015.0,1.0,Gazipur,Dhaka,1141.37,565.5
2015.0,1.0,Gopalganj,Dhaka,750.37,371.8
2015.0,1.0,Jamalpur,Dhaka,200.43,99.3
2015.0,1.0,Kishoreganj,Dhaka,1214.39,601.6
2015.0,1.0,Madaripur,Dhaka,69.27,34.3
2015.0,1.0,Manikganj,Dhaka,171.1,84.8
2015.0,1.0,Munshiganj,Dhaka,83.18,41.2
2015.0,1.0,Mymensingh,Dhaka,3068.42,1520.2
2015.0,1.0,Narayanganj,Dhaka,368.94,182.8
2015.0,1.0,Narsingdi,Dhaka,62.02,30.7
2015.0,1.0,Netrakona,Dhaka,1639.4,812.2
2015.0,1.0,Rajbari,Dhaka,107.02,53.0
2015.0,1.0,Shariatpur,Dhaka,168.49,83.5
2015.0,1.0,Sherpur,Dhaka,1056.98,523.7
2015.0,1.0,Tangail,Dhaka,2035.62,1008.5
2015.0,1.0,Bagerhat,Khulna,674.55,334.2
2015.0,1.0,Chuadanga,Khulna,518.95,257.1
2015.0,1.0,Jessore,Khulna,601.07,297.8
2015.0,1.0,Jhenaidah,Khulna,805.98,399.3
2015.0,1.0,Khulna,Khulna,736.16,364.7
2015.0,1.0,Kushtia,Khulna,116.09,57.5
2015.0,1.0,Magura,Khulna,460.15,228.0
2015.0,1.0,Meherpur,Khulna,384.27,190.4
2015.0,1.0,Narail,Khulna,66.79,33.1
2015.0,1.0,Satkhira,Khulna,983.86,487.4
2015.0,1.0,Habiganj,Sylhet,1740.9,862.5
2015.0,1.0,Maulvibazar,Sylhet,1159.79,574.6
2015.0,1.0,Sunamganj,Sylhet,595.8,295.2
2015.0,1.0,Sylhet,Sylhet,2121.93,1051.3
2015.0,1.0,Bogra,Rajshahi,146.12,72.4
2015.0,1.0,Joypurhat,Rajshahi,314.22,155.7
2015.0,1.0,Naogaon,Rajshahi,2077.3,1029.2
2015.0,1.0,Natore,Rajshahi,902.17,447.0
