year,month,month_name,district,division,water_area_km2,total_area_km2,water_fraction,water_area_calibrated_km2,season
2015,1,January,Bagerhat,Khulna,674.55,3965.62,0.1701,333.9,Dry Winter (Dec-Feb)
2015,1,January,Bandarban,Chittagong,1988.59,5000.66,0.397666,984.2,Dry Winter (Dec-Feb)
2015,1,January,Barguna,Barisal,153.88,1547.28,0.099453,76.2,Dry Winter (Dec-Feb)
2015,1,January,Barisal,Barisal,423.67,2767.25,0.153101,209.7,Dry Winter (Dec-Feb)
2015,1,January,Bhola,Barisal,643.95,2471.69,0.260531,318.7,Dry Winter (Dec-Feb)
2015,1,January,Bogra,Rajshahi,146.12,3233.63,0.045188,72.3,Dry Winter (Dec-Feb)
2015,1,January,Brahamanbaria,Chittagong,998.53,2104.07,0.474569,494.2,Dry Winter (Dec-Feb)
2015,1,January,Chandpur,Chittagong,240.49,1864.17,0.129006,119.0,Dry Winter (Dec-Feb)
2015,1,January,Chittagong,Chittagong,2358.09,4736.75,0.497829,1167.1,Dry Winter (Dec-Feb)
2015,1,January,Chuadanga,Khulna,518.95,1233.0,0.42088,256.9,Dry Winter (Dec-Feb)
2015,1,January,Comilla,Chittagong,1743.53,3351.85,0.520168,863.0,Dry Winter (Dec-Feb)
2015,1,January,Cox's Bazar,Chittagong,919.28,2206.6,0.416603,455.0,Dry Winter (Dec-Feb)
2015,1,January,Dhaka,Dhaka,900.68,1611.18,0.559018,445.8,Dry Winter (Dec-Feb)
2015,1,January,Dinajpur,Rangpur,1017.72,3829.09,0.265787,503.7,Dry Winter (Dec-Feb)
2015,1,January,Faridpur,Dhaka,829.25,2227.54,0.372273,410.4,Dry Winter (Dec-Feb)
2015,1,January,Feni,Chittagong,531.66,960.78,0.553365,263.1,Dry Winter (Dec-Feb)
2015,1,January,Gaibandha,Rangpur,77.54,2410.25,0.032171,38.4,Dry Winter (Dec-Feb)
2015,1,January,Gazipur,Dhaka,1141.37,1940.74,0.588113,564.9,Dry Winter (Dec-Feb)
2015,1,January,Gopalganj,Dhaka,750.37,1602.77,0.468171,371.4,Dry Winter (Dec-Feb)
2015,1,January,Habiganj,Sylhet,1740.9,2857.81,0.609171,861.6,Dry Winter (Dec-Feb)
2015,1,January,Jamalpur,Dhaka,200.43,2272.36,0.088203,99.2,Dry Winter (Dec-Feb)
2015,1,January,Jessore,Khulna,601.07,2784.67,0.215851,297.5,Dry Winter (Dec-Feb)
2015,1,January,Jhalokati,Barisal,33.45,807.93,0.041403,16.6,Dry Winter (Dec-Feb)
2015,1,January,Jhenaidah,Khulna,805.98,2143.26,0.376055,398.9,Dry Winter (Dec-Feb)
2015,1,January,Joypurhat,Rajshahi,314.22,1081.54,0.29053,155.5,Dry Winter (Dec-Feb)
2015,1,January,Khagrachhari,Chittagong,1934.0,3108.48,0.622169,957.2,Dry Winter (Dec-Feb)
2015,1,January,Khulna,Khulna,736.16,3868.06,0.190317,364.4,Dry Winter (Dec-Feb)
2015,1,January,Kishoreganj,Dhaka,1214.39,2821.62,0.430389,601.1,Dry Winter (Dec-Feb)
2015,1,January,Kurigram,Rangpur,352.73,2481.86,0.142123,174.6,Dry Winter (Dec-Feb)
2015,1,January,Kushtia,Khulna,116.09,1830.28,0.063429,57.5,Dry Winter (Dec-Feb)
2015,1,January,Lakshmipur,Chittagong,283.75,1573.07,0.180383,140.4,Dry Winter (Dec-Feb)
2015,1,January,Lalmonirhat,Rangpur,57.87,1381.75,0.041878,28.6,Dry Winter (Dec-Feb)
2015,1,January,Madaripur,Dhaka,69.27,1257.23,0.055101,34.3,Dry Winter (Dec-Feb)
2015,1,January,Magura,Khulna,460.15,1143.98,0.402233,227.7,Dry Winter (Dec-Feb)
2015,1,January,Manikganj,Dhaka,171.1,1531.92,0.111687,84.7,Dry Winter (Dec-Feb)
2015,1,January,Maulvibazar,Sylhet,1159.79,2819.05,0.411412,574.0,Dry Winter (Dec-Feb)
2015,1,January,Meherpur,Khulna,384.27,732.79,0.52439,190.2,Dry Winter (Dec-Feb)
2015,1,January,Munshiganj,Dhaka,83.18,1036.66,0.080237,41.2,Dry Winter (Dec-Feb)
2015,1,January,Mymensingh,Dhaka,3068.42,4784.19,0.641367,1518.7,Dry Winter (Dec-Feb)
2015,1,January,Naogaon,Rajshahi,2077.3,3823.94,0.543236,1028.1,Dry Winter (Dec-Feb)
2015,1,January,Narail,Khulna,66.79,1072.86,0.062251,33.1,Dry Winter (Dec-Feb)
2015,1,January,Narayanganj,Dhaka,368.94,832.16,0.443355,182.6,Dry Winter (Dec-Feb)
2015,1,January,Narsingdi,Dhaka,62.02,1281.34,0.048399,30.7,Dry Winter (Dec-Feb)
2015,1,January,Natore,Rajshahi,902.17,2101.7,0.42926,446.5,Dry Winter (Dec-Feb)
2015,1,January,Nawabganj,Rajshahi,787.4,1804.38,0.43638,389.7,Dry Winter (Dec-Feb)
2015,1,January,Netrakona,Dhaka,1639.4,3089.39,0.530653,811.4,Dry Winter (Dec-Feb)
2015,1,January,Nilphamari,Rangpur,36.58,1836.84,0.019914,18.1,Dry Winter (Dec-Feb)
2015,1,January,Noakhali,Chittagong,101.75,2642.03,0.038513,50.4,Dry Winter (Dec-Feb)
2015,1,January,Pabna,Rajshahi,745.24,2634.14,0.282917,368.9,Dry Winter (Dec-Feb)
2015,1,January,Panchagarh,Rangpur,810.14,1548.93,0.52303,401.0,Dry Winter (Dec-Feb)
2015,1,January,Patuakhali,Barisal,204.18,2730.09,0.074789,101.1,Dry Winter (Dec-Feb)
2015,1,January,Pirojpur,Barisal,93.46,1365.69,0.068437,46.3,Dry Winter (Dec-Feb)
2015,1,January,Rajbari,Dhaka,107.02,1249.73,0.085636,53.0,Dry Winter (Dec-Feb)
2015,1,January,Rajshahi,Rajshahi,533.37,2664.72,0.20016,264.0,Dry Winter (Dec-Feb)
2015,1,January,Rangamati,Chittagong,418.77,6226.79,0.067252,207.3,Dry Winter (Dec-Feb)
2015,1,January,Rangpur,Rangpur,120.36,2572.65,0.046785,59.6,Dry Winter (Dec-Feb)
2015,1,January,Satkhira,Khulna,983.86,3543.74,0.277632,487.0,Dry Winter (Dec-Feb)
2015,1,January,Shariatpur,Dhaka,168.49,1362.06,0.123702,83.4,Dry Winter (Dec-Feb)
2015,1,January,Sherpur,Dhaka,1056.98,1455.19,0.72635,523.1,Dry Winter (Dec-Feb)
2015,1,January,Sirajganj,Rajshahi,337.79,2755.65,0.122582,167.2,Dry Winter (Dec-Feb)
2015,1,January,Sunamganj,Sylhet,595.8,4043.04,0.147363,294.9,Dry Winter (Dec-Feb)
2015,1,January,Sylhet,Sylhet,2121.93,3847.75,0.551473,1050.2,Dry Winter (Dec-Feb)
2015,1,January,Tangail,Dhaka,2035.62,3707.07,0.54912,1007.5,Dry Winter (Dec-Feb)
2015,1,January,Thakurgaon,Rangpur,1267.62,2008.93,0.63099,627.4,Dry Winter (Dec-Feb)
2015,2,February,Bagerhat,Khulna,595.49,3965.62,0.150164,294.7,Dry Winter (Dec-Feb)
2015,2,February,Bandarban,Chittagong,3036.62,4999.8,0.607348,1503.0,Dry Winter (Dec-Feb)
2015,2,February,Barguna,Barisal,156.15,1547.28,0.10092,77.3,Dry Winter (Dec-Feb)
2015,2,February,Barisal,Barisal,392.75,2767.25,0.141927,194.4,Dry Winter (Dec-Feb)
2015,2,February,Bhola,Barisal,607.48,2471.69,0.245775,300.7,Dry Winter (Dec-Feb)
2015,2,February,Bogra,Rajshahi,1215.46,3233.63,0.375881,601.6,Dry Winter (Dec-Feb)
2015,2,February,Brahamanbaria,Chittagong,941.6,2104.07,0.447512,466.0,Dry Winter (Dec-Feb)
2015,2,February,Chandpur,Chittagong,230.85,1864.17,0.123834,114.3,Dry Winter (Dec-Feb)
2015,2,February,Chittagong,Chittagong,2112.13,4736.75,0.445903,1045.4,Dry Winter (Dec-Feb)
2015,2,February,Chuadanga,Khulna,461.96,1233.0,0.374666,228.6,Dry Winter (Dec-Feb)
2015,2,February,Comilla,Chittagong,1560.41,3351.85,0.465536,772.3,Dry Winter (Dec-Feb)
2015,2,February,Cox's Bazar,Chittagong,943.39,2206.3,0.42759,466.9,Dry Winter (Dec-Feb)
2015,2,February,Dhaka,Dhaka,844.87,1611.18,0.52438,418.2,Dry Winter (Dec-Feb)
2015,2,February,Dinajpur,Rangpur,1643.76,3829.09,0.429283,813.6,Dry Winter (Dec-Feb)
2015,2,February,Faridpur,Dhaka,802.47,2227.54,0.36025,397.2,Dry Winter (Dec-Feb)
2015,2,February,Feni,Chittagong,443.48,960.76,0.461596,219.5,Dry Winter (Dec-Feb)
2015,2,February,Gaibandha,Rangpur,321.92,2410.25,0.133562,159.3,Dry Winter (Dec-Feb)
2015,2,February,Gazipur,Dhaka,1308.49,1940.02,0.674474,647.6,Dry Winter (Dec-Feb)
2015,2,February,Gopalganj,Dhaka,748.43,1602.77,0.466961,370.4,Dry Winter (Dec-Feb)
2015,2,February,Habiganj,Sylhet,1242.53,2857.16,0.434882,615.0,Dry Winter (Dec-Feb)
2015,2,February,Jamalpur,Dhaka,777.81,2272.36,0.342294,385.0,Dry Winter (Dec-Feb)
2015,2,February,Jessore,Khulna,515.73,2784.67,0.185202,255.3,Dry Winter (Dec-Feb)
2015,2,February,Jhalokati,Barisal,34.34,807.93,0.042506,17.0,Dry Winter (Dec-Feb)
2015,2,February,Jhenaidah,Khulna,741.74,2015.52,0.368016,367.1,Dry Winter (Dec-Feb)
2015,2,February,Joypurhat,Rajshahi,524.28,1081.54,0.484753,259.5,Dry Winter (Dec-Feb)
2015,2,February,Khagrachhari,Chittagong,1852.94,3107.25,0.596326,917.1,Dry Winter (Dec-Feb)
2015,2,February,Khulna,Khulna,565.64,3868.06,0.146232,280.0,Dry Winter (Dec-Feb)
2015,2,February,Kishoreganj,Dhaka,1048.83,2820.2,0.371901,519.1,Dry Winter (Dec-Feb)
2015,2,February,Kurigram,Rangpur,460.37,2481.86,0.185494,227.9,Dry Winter (Dec-Feb)
2015,2,February,Kushtia,Khulna,177.65,1830.28,0.097063,87.9,Dry Winter (Dec-Feb)
2015,2,February,Lakshmipur,Chittagong,264.9,1573.07,0.168398,131.1,Dry Winter (Dec-Feb)
2015,2,February,Lalmonirhat,Rangpur,453.66,1381.75,0.32832,224.5,Dry Winter (Dec-Feb)
2015,2,February,Madaripur,Dhaka,51.29,1257.23,0.040795,25.4,Dry Winter (Dec-Feb)
2015,2,February,Magura,Khulna,554.44,1143.98,0.484659,274.4,Dry Winter (Dec-Feb)
2015,2,February,Manikganj,Dhaka,161.66,1531.92,0.105529,80.0,Dry Winter (Dec-Feb)
2015,2,February,Maulvibazar,Sylhet,1537.33,2818.38,0.545465,760.9,Dry Winter (Dec-Feb)
2015,2,February,Meherpur,Khulna,379.94,732.79,0.518485,188.0,Dry Winter (Dec-Feb)
2015,2,February,Munshiganj,Dhaka,83.51,1036.66,0.080557,41.3,Dry Winter (Dec-Feb)
