year,division,water_area_km2
2015.0,Barisal,1256.0
2015.0,Chittagong,3682.4
2015.0,Dhaka,3383.2
2015.0,Khulna,2603.1
2015.0,Rajshahi,2172.3
2015.0,Rangpur,2325.1
2015.0,Sylhet,1927.0
2016.0,Barisal,1498.2
2016.0,Chittagong,5323.5
2016.0,Dhaka,4601.8
2016.0,Khulna,3476.0
2016.0,Rajshahi,2991.7
2016.0,Rangpur,3760.7999999999997
2016.0,Sylhet,2577.2999999999997
2017.0,Barisal,1203.7
2017.0,Chittagong,4955.4
2017.0,Dhaka,3895.3
2017.0,Khulna,3581.4
2017.0,Rajshahi,2024.9
2017.0,Rangpur,2798.5
2017.0,Sylhet,2562.8
2018.0,Barisal,1282.4
2018.0,Chittagong,5137.1
2018.0,Dhaka,3099.1
2018.0,Khulna,3306.0
2018.0,Rajshahi,1389.9
2018.0,Rangpur,2464.2
2018.0,Sylhet,2200.2
2019.0,Barisal,1480.1
2019.0,Chittagong,5119.2
2019.0,Dhaka,4298.0
2019.0,Khulna,3059.8
2019.0,Rajshahi,2892.5
2019.0,Rangpur,3537.6
2019.0,Sylhet,2903.5
2020.0,Barisal,1219.3
2020.0,Chittagong,4980.8
2020.0,Dhaka,5232.7
2020.0,Khulna,3493.6
2020.0,Rajshahi,3108.5
2020.0,Rangpur,3801.2000000000003
2020.0,Sylhet,3126.6
2021.0,Barisal,1217.2
2021.0,Chittagong,4563.7
2021.0,Dhaka,3647.8
2021.0,Khulna,3519.4
2021.0,Rajshahi,2141.9
2021.0,Rangpur,2769.0
2021.0,Sylhet,2071.0
2022.0,Barisal,1213.6000000000001
2022.0,Chittagong,4912.6
2022.0,Dhaka,3280.6000000000004
2022.0,Khulna,3297.2
2022.0,Rajshahi,1184.6
2022.0,Rangpur,2168.9
2022.0,Sylhet,3051.5
2023.0,Barisal,1056.3
2023.0,Chittagong,4626.0
2023.0,Dhaka,3193.8
2023.0,Khulna,3256.9
2023.0,Rajshahi,1430.6
2023.0,Rangpur,2899.1
2023.0,Sylhet,2458.6
2024.0,Barisal,1162.0
2024.0,Chittagong,4897.6
2024.0,Dhaka,3873.1000000000004
2024.0,Khulna,3192.8
2024.0,Rajshahi,2199.1
2024.0,Rangpur,3035.8
2024.0,Sylhet,3156.1
2025.0,Barisal,1358.9
2025.0,Chittagong,4620.4
2025.0,Dhaka,2786.5
2025.0,Khulna,3700.2
2025.0,Rajshahi,1731.6
2025.0,Rangpur,2154.0
2025.0,Sylhet,1991.3999999999999
