year,month,water_area_km2,water_area_calibrated_km2
2015.0,1.0,47488.42,23527.4
2015.0,2.0,53242.1,26377.9
2015.0,3.0,52805.35,26161.6
2015.0,4.0,31830.44,15769.9
2015.0,5.0,24786.44,12280.0
2015.0,6.0,36135.53,17902.8
2015.0,7.0,35017.78,17349.0
2015.0,8.0,34693.92,17188.5
2015.0,9.0,33091.8,16394.8
2015.0,10.0,34439.159999999996,17062.3
2015.0,11.0,31451.96,15582.4
2015.0,12.0,46220.11,22899.0
2016.0,1.0,29931.12,14828.9
2016.0,2.0,52185.39,25854.4
2016.0,3.0,52496.8,26008.7
2016.0,4.0,58920.229999999996,29191.1
2016.0,5.0,42505.75,21058.8
2016.0,6.0,42719.29,21164.6
2016.0,7.0,48904.96,24229.2
2016.0,8.0,46478.88,23027.2
2016.0,9.0,42724.69,21167.3
2016.0,10.0,41159.83,20392.0
2016.0,11.0,42268.75,20941.4
2016.0,12.0,46596.439999999995,23085.5
2017.0,1.0,51936.62,25731.2
2017.0,2.0,58384.21,28925.5
2017.0,3.0,58016.54,28743.4
2017.0,4.0,63599.51,31509.3
2017.0,5.0,46153.44,22866.0
2017.0,6.0,42162.26,20888.6
2017.0,7.0,42430.770000000004,21021.6
2017.0,8.0,49293.57,24421.7
2017.0,9.0,45545.91,22565.0
2017.0,10.0,42229.39,20921.9
2017.0,11.0,41297.11,20460.0
2017.0,12.0,41044.0,20334.6
2018.0,1.0,47214.28,23391.5
2018.0,2.0,55932.48,27710.8
2018.0,3.0,60364.22,29906.5
2018.0,4.0,57217.61,28347.5
2018.0,5.0,40994.67,20310.1
2018.0,6.0,40379.03,20005.1
2018.0,7.0,38105.69,18878.8
2018.0,8.0,42516.34,21064.0
2018.0,9.0,43888.87,21744.0
2018.0,10.0,43006.83,21307.0
2018.0,11.0,43551.9,21577.1
2018.0,12.0,45588.3,22586.0
2019.0,1.0,53490.03,26500.8
2019.0,2.0,56608.87,28045.9
2019.0,3.0,57734.270000000004,28603.5
2019.0,4.0,55042.55,27269.9
2019.0,5.0,47065.09,23317.6
2019.0,6.0,38149.52,18900.6
2019.0,7.0,47010.94,23290.8
2019.0,8.0,43195.32,21400.4
2019.0,9.0,40256.18,19944.3
2019.0,10.0,39268.62,19455.0
2019.0,11.0,37284.52,18472.0
2019.0,12.0,41507.52,20564.2
2020.0,1.0,41014.83,20320.1
2020.0,2.0,56001.66,27745.1
2020.0,3.0,57871.93,28671.7
2020.0,4.0,61380.36,30409.9
2020.0,5.0,37030.340000000004,18346.1
2020.0,6.0,38048.45,18850.5
2020.0,7.0,50385.07,24962.5
2020.0,8.0,48843.27,24198.6
2020.0,9.0,44383.43,21989.1
2020.0,10.0,42186.88,20900.8
2020.0,11.0,40569.68,20099.6
2020.0,12.0,43197.28,21401.4
2021.0,1.0,49394.52,24471.7
2021.0,2.0,56702.01,28092.1
2021.0,3.0,61647.74,30542.4
2021.0,4.0,64289.76,31851.3
2021.0,5.0,41094.58,20359.6
2021.0,6.0,36963.590000000004,18313.0
2021.0,7.0,40227.56,19930.1
2021.0,8.0,44080.15,21838.8
2021.0,9.0,42468.55,21040.4
2021.0,10.0,41041.06,20333.1
2021.0,11.0,39182.97,19412.6
2021.0,12.0,40150.0,19891.7
2022.0,1.0,44962.98,22276.2
2022.0,2.0,53954.8,26731.0
2022.0,3.0,59920.82,29686.8
2022.0,4.0,61043.33,30242.9
2022.0,5.0,41324.15,20473.4
2022.0,6.0,45198.53,22392.9
2022.0,7.0,38571.04,19109.4
2022.0,8.0,42477.31,21044.7
2022.0,9.0,42430.32,21021.4
2022.0,10.0,41170.68,20397.3
2022.0,11.0,42230.75,20922.5
2022.0,12.0,44693.42,22142.6
2023.0,1.0,48117.99,23839.3
2023.0,2.0,54240.28,26872.5
2023.0,3.0,56154.95,27821.1
2023.0,4.0,59531.4,29493.9
2023.0,5.0,44563.43,22078.2
2023.0,6.0,41417.79,20519.8
2023.0,7.0,38190.86,18921.0
2023.0,8.0,42061.04,20838.5
2023.0,9.0,39204.66,19423.3
2023.0,10.0,41328.43,20475.5
2023.0,11.0,38961.01,19302.6
2023.0,12.0,38428.76,19038.9
2024.0,1.0,43331.61,21467.9
2024.0,2.0,50618.71,25078.2
2024.0,3.0,53041.38,26278.5
2024.0,4.0,61563.83,30500.8
2024.0,5.0,43878.270000000004,21738.8
2024.0,6.0,45068.46,22328.4
2024.0,7.0,43429.26,21516.3
2024.0,8.0,45597.47,22590.5
2024.0,9.0,42530.75,21071.2
2024.0,10.0,41914.32,20765.8
2024.0,11.0,40445.17,20037.9
2024.0,12.0,43959.82,21779.2
2025.0,1.0,47203.32,23386.1
2025.0,2.0,50063.33,24803.1
2025.0,3.0,60686.32,30066.1
2025.0,4.0,57346.69,28411.5
2025.0,5.0,42510.04,21060.9
2025.0,6.0,41218.840000000004,20421.2
2025.0,7.0,37024.0,18342.9
2025.0,8.0,42657.73,21134.1
2025.0,9.0,41647.75,20633.7
2025.0,10.0,39943.33,19789.3
2025.0,11.0,38947.18,19295.7
2025.0,12.0,44973.2,22281.2
