from_year,to_year,month,month_name,water_area_from_km2,water_area_to_km2,change_km2,change_percent
2015,2016,1,January,23504.1,23092.3,-411.8,-1.75
2016,2017,1,January,23092.3,25705.8,2613.5,11.32
2017,2018,1,January,25705.8,23368.5,-2337.3,-9.09
2018,2019,1,January,23368.5,26474.6,3106.1,13.29
2019,2020,1,January,26474.6,20300.1,-6174.5,-23.32
2020,2021,1,January,20300.1,24447.6,4147.5,20.43
2021,2022,1,January,24447.6,22254.2,-2193.4,-8.97
2022,2023,1,January,22254.2,23815.7,1561.5,7.02
2023,2024,1,January,23815.7,21446.7,-2369.0,-9.95
2024,2025,1,January,21446.7,23363.0,1916.3,8.94
2015,2016,2,February,26351.9,25828.9,-523.0,-1.98
2016,2017,2,February,25828.9,28897.0,3068.1,11.88
2017,2018,2,February,28897.0,27683.5,-1213.5,-4.2
2018,2019,2,February,27683.5,28018.3,334.8,1.21
2019,2020,2,February,28018.3,27717.7,-300.6,-1.07
2020,2021,2,February,27717.7,28064.4,346.7,1.25
2021,2022,2,February,28064.4,26704.6,-1359.8,-4.85
2022,2023,2,February,26704.6,26845.9,141.3,0.53
2023,2024,2,February,26845.9,25053.5,-1792.4,-6.68
2024,2025,2,February,25053.5,24778.6,-274.9,-1.1
2015,2016,3,March,26135.7,25983.0,-152.7,-0.58
2016,2017,3,March,25983.0,28715.0,2732.0,10.51
2017,2018,3,March,28715.0,29876.9,1161.9,4.05
2018,2019,3,March,29876.9,28575.3,-1301.6,-4.36
2019,2020,3,March,28575.3,28643.4,68.1,0.24
2020,2021,3,March,28643.4,30512.2,1868.8,6.52
2021,2022,3,March,30512.2,29657.5,-854.7,-2.8
2022,2023,3,March,29657.5,27793.6,-1863.9,-6.28
2023,2024,3,March,27793.6,26252.5,-1541.1,-5.54
2024,2025,3,March,26252.5,30036.4,3783.9,14.41
2015,2016,4,April,15754.3,29162.3,13408.0,85.11
2016,2017,4,April,29162.3,31478.2,2315.9,7.94
2017,2018,4,April,31478.2,28319.5,-3158.7,-10.03
2018,2019,4,April,28319.5,27243.0,-1076.5,-3.8
2019,2020,4,April,27243.0,30379.9,3136.9,11.51
2020,2021,4,April,30379.9,31819.9,1440.0,4.74
2021,2022,4,April,31819.9,30213.1,-1606.8,-5.05
2022,2023,4,April,30213.1,29464.7,-748.4,-2.48
2023,2024,4,April,29464.7,30470.7,1006.0,3.41
2024,2025,4,April,30470.7,28383.4,-2087.3,-6.85
2015,2016,5,May,12267.9,21038.0,8770.1,71.49
2016,2017,5,May,21038.0,22843.4,1805.4,8.58
2017,2018,5,May,22843.4,20290.1,-2553.3,-11.18
2018,2019,5,May,20290.1,23294.6,3004.5,14.81
2019,2020,5,May,23294.6,18328.0,-4966.6,-21.32
2020,2021,5,May,18328.0,20339.5,2011.5,10.98
2021,2022,5,May,20339.5,20453.2,113.7,0.56
2022,2023,5,May,20453.2,22056.4,1603.2,7.84
2023,2024,5,May,22056.4,21717.3,-339.1,-1.54
2024,2025,5,May,21717.3,21040.1,-677.2,-3.12
2015,2016,6,June,17885.1,21143.7,3258.6,18.22
2016,2017,6,June,21143.7,20868.0,-275.7,-1.3
2017,2018,6,June,20868.0,19985.4,-882.6,-4.23
2018,2019,6,June,19985.4,18881.9,-1103.5,-5.52
2019,2020,6,June,18881.9,18831.9,-50.0,-0.26
2020,2021,6,June,18831.9,18294.9,-537.0,-2.85
2021,2022,6,June,18294.9,22370.8,4075.9,22.28
2022,2023,6,June,22370.8,20499.5,-1871.3,-8.36
2023,2024,6,June,20499.5,22306.4,1806.9,8.81
2024,2025,6,June,22306.4,20401.0,-1905.4,-8.54
2015,2016,7,July,17331.9,24205.2,6873.3,39.66
2016,2017,7,July,24205.2,21000.9,-3204.3,-13.24
2017,2018,7,July,21000.9,18860.2,-2140.7,-10.19
2018,2019,7,July,18860.2,23267.8,4407.6,23.37
2019,2020,7,July,23267.8,24937.8,1670.0,7.18
2020,2021,7,July,24937.8,19910.4,-5027.4,-20.16
2021,2022,7,July,19910.4,19090.5,-819.9,-4.12
2022,2023,7,July,19090.5,18902.4,-188.1,-0.99
2023,2024,7,July,18902.4,21495.1,2592.7,13.72
2024,2025,7,July,21495.1,18324.8,-3170.3,-14.75
2015,2016,8,August,17171.6,23004.5,5832.9,33.97
2016,2017,8,August,23004.5,24397.6,1393.1,6.06
2017,2018,8,August,24397.6,21043.2,-3354.4,-13.75
2018,2019,8,August,21043.2,21379.3,336.1,1.6
2019,2020,8,August,21379.3,24174.7,2795.4,13.08
2020,2021,8,August,24174.7,21817.2,-2357.5,-9.75
2021,2022,8,August,21817.2,21023.9,-793.3,-3.64
2022,2023,8,August,21023.9,20817.9,-206.0,-0.98
2023,2024,8,August,20817.9,22568.2,1750.3,8.41
2024,2025,8,August,22568.2,21113.2,-1455.0,-6.45
2015,2016,9,September,16444.1,21146.4,4702.3,28.6
2016,2017,9,September,21146.4,22542.7,1396.3,6.6
2017,2018,9,September,22542.7,21722.6,-820.1,-3.64
2018,2019,9,September,21722.6,19924.6,-1798.0,-8.28
2019,2020,9,September,19924.6,21967.3,2042.7,10.25
2020,2021,9,September,21967.3,21019.6,-947.7,-4.31
2021,2022,9,September,21019.6,21000.7,-18.9,-0.09
2022,2023,9,September,21000.7,19404.1,-1596.6,-7.6
2023,2024,9,September,19404.1,21050.4,1646.3,8.48
2024,2025,9,September,21050.4,20613.3,-437.1,-2.08
2015,2016,10,October,17045.5,20371.8,3326.3,19.51
2016,2017,10,October,20371.8,20901.2,529.4,2.6
2017,2018,10,October,20901.2,21286.0,384.8,1.84
2018,2019,10,October,21286.0,19435.8,-1850.2,-8.69
2019,2020,10,October,19435.8,20880.2,1444.4,7.43
2020,2021,10,October,20880.2,20313.1,-567.1,-2.72
2021,2022,10,October,20313.1,20377.2,64.1,0.32
2022,2023,10,October,20377.2,20455.3,78.1,0.38
2023,2024,10,October,20455.3,20745.3,290.0,1.42
2024,2025,10,October,20745.3,19769.7,-975.6,-4.7
2015,2016,11,November,15664.1,20920.7,5256.6,33.56
2016,2017,11,November,20920.7,20439.8,-480.9,-2.3
2017,2018,11,November,20439.8,21555.8,1116.0,5.46
2018,2019,11,November,21555.8,18453.8,-3102.0,-14.39
2019,2020,11,November,18453.8,20079.7,1625.9,8.81
2020,2021,11,November,20079.7,19393.4,-686.3,-3.42
2021,2022,11,November,19393.4,20901.9,1508.5,7.78
2022,2023,11,November,20901.9,19283.5,-1618.4,-7.74
2023,2024,11,November,19283.5,20018.1,734.6,3.81
2024,2025,11,November,20018.1,19276.7,-741.4,-3.7
2015,2016,12,December,22876.4,23062.7,186.3,0.81
2016,2017,12,December,23062.7,20314.5,-2748.2,-11.92
2017,2018,12,December,20314.5,22563.7,2249.2,11.07
2018,2019,12,December,22563.7,20543.9,-2019.8,-8.95
2019,2020,12,December,20543.9,21380.3,836.4,4.07
2020,2021,12,December,21380.3,19872.0,-1508.3,-7.05
2021,2022,12,December,19872.0,22120.8,2248.8,11.32
2022,2023,12,December,22120.8,19020.1,-3100.7,-14.02
2023,2024,12,December,19020.1,21757.7,2737.6,14.39
2024,2025,12,December,21757.7,22259.2,501.5,2.3
